Outcome,PC,Selected,LASSO_Coefficient,LASSO_Alpha,Model_R2_insample,Model_R2_CV,N_selected
HU,141,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,142,0,-0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,142,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,142,1,-0.006004086,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,143,1,0.021467624,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,143,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,143,1,0.014001571,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,144,1,0.029420918,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,144,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,144,1,0.016659582,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,145,0,-0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,145,1,-0.00081164326,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,145,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,146,1,0.003796974,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,146,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,146,1,0.00857683,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,147,0,-0.0,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,147,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,147,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,148,1,0.016851744,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,148,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,148,0,-0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,149,1,-0.009601017,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,149,1,0.02880621,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,149,0,0.0,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,150,1,0.011458436,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,150,0,-0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,150,1,-0.00358123,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,151,1,0.03561335,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
AI,151,0,0.0,0.016112214800333667,0.4170078260914315,0.30772902137339087,115
HU,151,1,0.0133530395,0.014496540304130046,0.33209723269865177,0.21426389948687782,123
X,152,1,-0.009204051,0.012029150064279742,0.2684950256047657,0.09259634504342384,152
